timestamp,segment,station_upstream,station_downstream,pipe_diameter_in,pipe_length_m,pressure_upstream_psi,pressure_downstream_psi,pressure_drop_psi,flow_upstream_lps,flow_downstream_lps,flow_diff_lps,vibration_g,acoustic_db,is_leak,severity,water_loss_lpm
2879,SEG2,S2,S3,6.0,300,53.47,41.59,11.88,6.444,6.442,0.002,0.117,33.1,0,none,0.116
1812,SEG3,S3,S4,6.0,275,54.57,45.83,8.74,5.746,5.746,0.0,0.099,27.08,0,none,0.001
36,SEG4,S4,S5,4.0,200,52.56,40.6,11.95,5.297,5.289,0.009,0.163,33.22,1,small,0.514
3408,SEG3,S3,S4,6.0,275,57.19,51.86,5.33,4.454,4.454,0.0,0.199,30.84,0,none,0.012
3623,SEG1,S1,S2,8.0,250,54.37,36.48,17.89,5.728,5.502,0.226,0.439,48.86,1,severe,13.548
254,SEG3,S3,S4,6.0,275,54.95,40.56,14.39,4.536,4.298,0.238,0.424,43.37,1,severe,14.269
1156,SEG2,S2,S3,6.0,300,54.82,41.81,13.01,6.816,6.816,0.0,0.185,28.67,0,none,0.016
3540,SEG2,S2,S3,6.0,300,54.71,40.23,14.48,7.28,7.277,0.002,0.242,30.36,0,none,0.148
3497,SEG2,S2,S3,6.0,300,54.9,41.19,13.71,7.07,7.069,0.0,0.103,29.23,0,none,0.026
3387,SEG2,S2,S3,6.0,300,54.4,46.06,8.34,5.303,5.301,0.002,0.277,29.22,0,none,0.12
2312,SEG1,S1,S2,8.0,250,56.58,49.23,7.36,6.32,6.307,0.014,0.164,29.91,1,small,0.818
1664,SEG2,S2,S3,6.0,300,55.43,46.22,9.21,5.642,5.641,0.001,0.179,31.02,0,none,0.047
3324,SEG4,S4,S5,4.0,200,56.19,48.39,7.8,4.632,4.632,0.0,0.187,29.94,0,none,0.02
1140,SEG2,S2,S3,6.0,300,53.29,43.18,10.11,5.976,5.974,0.002,0.207,22.89,0,none,0.119
937,SEG1,S1,S2,8.0,250,55.23,45.96,9.27,6.845,6.82,0.025,0.217,31.15,1,small,1.514
708,SEG1,S1,S2,8.0,250,56.77,50.97,5.8,6.046,6.046,0.0,0.164,32.75,0,none,0.001
2151,SEG2,S2,S3,6.0,300,54.96,31.2,23.75,6.683,6.545,0.138,0.482,46.5,1,severe,8.308
1873,SEG4,S4,S5,4.0,200,54.2,45.29,8.9,4.936,4.934,0.002,0.204,27.2,0,none,0.139
1092,SEG4,S4,S5,4.0,200,54.92,46.77,8.15,4.424,4.409,0.015,0.228,29.85,1,small,0.891
900,SEG4,S4,S5,4.0,200,56.09,47.36,8.73,4.938,4.937,0.001,0.264,27.1,0,none,0.056
101,SEG2,S2,S3,6.0,300,54.41,40.56,13.85,7.076,7.074,0.002,0.142,29.1,0,none,0.134
2929,SEG1,S1,S2,8.0,250,54.07,46.41,7.66,7.07,7.068,0.001,0.214,32.7,0,none,0.074
1703,SEG2,S2,S3,6.0,300,54.76,44.95,9.81,5.901,5.899,0.001,0.22,30.19,0,none,0.07
19,SEG4,S4,S5,4.0,200,54.98,44.2,10.78,5.506,5.503,0.002,0.157,31.04,0,none,0.137
1476,SEG4,S4,S5,4.0,200,56.84,45.56,11.28,5.623,5.622,0.002,0.173,27.97,0,none,0.11
3613,SEG2,S2,S3,6.0,300,52.6,41.76,10.85,6.075,6.073,0.002,0.185,30.14,0,none,0.108
674,SEG4,S4,S5,4.0,200,54.15,42.14,12.01,5.797,5.797,0.0,0.228,28.02,0,none,0.016
3660,SEG2,S2,S3,6.0,300,55.83,47.44,8.39,5.367,5.365,0.002,0.152,31.53,0,none,0.113
2645,SEG3,S3,S4,6.0,275,56.23,47.7,8.53,5.663,5.662,0.001,0.115,30.95,0,none,0.063
2506,SEG3,S3,S4,6.0,275,56.58,51.45,5.13,4.247,4.247,0.0,0.293,32.31,0,none,0.028
1489,SEG1,S1,S2,8.0,250,55.77,44.38,11.39,7.098,7.021,0.077,0.253,33.89,1,medium,4.62
2422,SEG2,S2,S3,6.0,300,54.83,40.9,13.93,7.142,7.141,0.001,0.254,28.5,0,none,0.059
1087,SEG1,S1,S2,8.0,250,56.79,52.82,3.97,4.948,4.947,0.001,0.288,28.84,0,none,0.09
1398,SEG1,S1,S2,8.0,250,54.16,49.92,4.25,5.099,5.097,0.002,0.228,28.31,0,none,0.126
88,SEG1,S1,S2,8.0,250,55.69,48.48,7.21,6.858,6.857,0.001,0.195,32.26,0,none,0.05
1202,SEG3,S3,S4,6.0,275,56.07,47.87,8.19,5.548,5.546,0.002,0.219,28.53,0,none,0.125
85,SEG4,S4,S5,4.0,200,55.55,42.51,13.04,5.906,5.875,0.03,0.254,31.73,1,small,1.83
3565,SEG2,S2,S3,6.0,300,55.89,41.26,14.63,7.348,7.348,0.001,0.171,29.09,0,none,0.039
2742,SEG3,S3,S4,6.0,275,54.89,48.37,6.53,4.899,4.898,0.001,0.244,31.31,0,none,0.053
3577,SEG4,S4,S5,4.0,200,56.28,43.02,13.26,5.374,5.336,0.038,0.231,33.04,1,small,2.271
1504,SEG4,S4,S5,4.0,200,55.29,44.34,10.95,5.666,5.663,0.002,0.204,25.8,0,none,0.137
1441,SEG3,S3,S4,6.0,275,55.07,49.14,5.94,4.696,4.694,0.002,0.226,30.0,0,none,0.12
2595,SEG1,S1,S2,8.0,250,55.13,49.18,5.95,6.044,6.043,0.001,0.235,32.13,0,none,0.033
585,SEG3,S3,S4,6.0,275,55.08,48.24,6.84,5.049,5.048,0.002,0.236,34.17,0,none,0.115
763,SEG3,S3,S4,6.0,275,53.13,47.4,5.73,4.522,4.521,0.001,0.259,31.01,0,none,0.072
2348,SEG2,S2,S3,6.0,300,57.08,39.32,17.76,7.555,7.521,0.034,0.251,28.81,1,small,2.055
3013,SEG1,S1,S2,8.0,250,57.04,50.71,6.33,6.376,6.375,0.001,0.147,28.56,0,none,0.087
2742,SEG1,S1,S2,8.0,250,53.95,48.13,5.82,6.138,6.138,0.001,0.16,28.84,0,none,0.036
2391,SEG4,S4,S5,4.0,200,57.01,42.55,14.46,5.766,5.744,0.021,0.202,29.85,1,small,1.29
1629,SEG3,S3,S4,6.0,275,53.69,43.43,10.26,4.41,4.323,0.087,0.244,37.27,1,medium,5.214
123,SEG1,S1,S2,8.0,250,55.76,45.14,10.62,6.45,6.37,0.08,0.358,34.17,1,medium,4.794
400,SEG2,S2,S3,6.0,300,55.78,41.71,14.08,7.003,7.001,0.002,0.092,27.8,0,none,0.093
499,SEG4,S4,S5,4.0,200,55.75,48.08,7.67,4.512,4.51,0.002,0.199,31.16,0,none,0.105
1384,SEG3,S3,S4,6.0,275,52.79,46.43,6.36,4.239,4.229,0.01,0.258,31.14,1,small,0.603
787,SEG2,S2,S3,6.0,300,53.62,30.99,22.63,5.584,5.352,0.233,0.447,48.35,1,severe,13.95
1707,SEG3,S3,S4,6.0,275,54.13,45.79,8.34,4.677,4.654,0.023,0.208,31.61,1,small,1.388
1212,SEG3,S3,S4,6.0,275,54.79,45.41,9.38,5.926,5.925,0.0,0.241,27.36,0,none,0.027
3132,SEG2,S2,S3,6.0,300,55.21,44.63,10.58,6.078,6.077,0.001,0.201,27.97,0,none,0.061
600,SEG2,S2,S3,6.0,300,57.12,43.57,13.55,6.91,6.909,0.002,0.189,29.63,0,none,0.117
2912,SEG3,S3,S4,6.0,275,54.73,47.06,7.67,5.367,5.366,0.001,0.215,28.84,0,none,0.079
2016,SEG4,S4,S5,4.0,200,54.17,46.33,7.84,4.758,4.757,0.001,0.275,32.17,0,none,0.069
101,SEG1,S1,S2,8.0,250,55.03,48.44,6.59,6.547,6.545,0.002,0.261,24.65,0,none,0.11
1547,SEG2,S2,S3,6.0,300,55.7,42.34,13.36,6.893,6.891,0.002,0.153,30.15,0,none,0.109
1714,SEG1,S1,S2,8.0,250,53.23,47.81,5.42,5.832,5.83,0.002,0.213,27.16,0,none,0.095
8,SEG4,S4,S5,4.0,200,55.34,46.84,8.5,4.853,4.851,0.001,0.199,29.34,0,none,0.077
290,SEG4,S4,S5,4.0,200,55.08,46.56,8.51,4.812,4.81,0.001,0.211,27.82,0,none,0.075
58,SEG2,S2,S3,6.0,300,53.91,38.51,15.41,7.535,7.533,0.002,0.147,31.82,0,none,0.103
486,SEG3,S3,S4,6.0,275,54.8,49.7,5.1,4.271,4.271,0.0,0.228,31.34,0,none,0.029
2991,SEG3,S3,S4,6.0,275,54.91,46.68,8.23,5.545,5.544,0.0,0.181,29.75,0,none,0.029
667,SEG2,S2,S3,6.0,300,53.73,26.62,27.11,7.478,7.263,0.215,0.474,41.6,1,severe,12.911
100,SEG2,S2,S3,6.0,300,54.89,40.89,14.0,7.035,7.033,0.001,0.229,30.32,0,none,0.072
93,SEG2,S2,S3,6.0,300,55.37,40.76,14.61,7.009,7.001,0.009,0.28,31.92,1,small,0.529
1241,SEG4,S4,S5,4.0,200,54.97,43.65,11.31,5.681,5.68,0.001,0.292,30.33,0,none,0.074
704,SEG3,S3,S4,6.0,275,55.18,48.77,6.41,4.928,4.926,0.002,0.197,26.77,0,none,0.13
3449,SEG3,S3,S4,6.0,275,54.09,46.78,7.31,5.188,5.188,0.0,0.191,32.1,0,none,0.003
1484,SEG2,S2,S3,6.0,300,55.5,40.21,15.3,7.461,7.459,0.001,0.155,29.47,0,none,0.072
1905,SEG2,S2,S3,6.0,300,55.03,44.12,10.91,6.105,6.103,0.002,0.229,34.84,0,none,0.145
1488,SEG4,S4,S5,4.0,200,55.9,42.53,13.37,5.519,5.496,0.024,0.3,32.44,1,small,1.422
3395,SEG4,S4,S5,4.0,200,54.7,46.97,7.73,4.411,4.411,0.0,0.127,29.73,0,none,0.026
3846,SEG4,S4,S5,4.0,200,56.56,46.09,10.46,5.429,5.428,0.001,0.193,31.52,0,none,0.08
150,SEG1,S1,S2,8.0,250,54.45,49.31,5.14,5.814,5.812,0.002,0.204,30.65,0,none,0.121
2341,SEG2,S2,S3,6.0,300,53.46,39.32,14.15,7.223,7.223,0.0,0.179,28.57,0,none,0.024
3063,SEG1,S1,S2,8.0,250,56.37,48.39,7.98,5.399,5.357,0.042,0.267,35.46,1,medium,2.545
1129,SEG2,S2,S3,6.0,300,56.06,45.16,10.9,5.65,5.633,0.017,0.143,33.87,1,small,1.034
2146,SEG3,S3,S4,6.0,275,56.53,48.76,7.77,5.331,5.33,0.001,0.183,26.49,0,none,0.057
1803,SEG2,S2,S3,6.0,300,56.55,38.44,18.11,7.358,7.268,0.09,0.378,36.07,1,medium,5.398
1799,SEG2,S2,S3,6.0,300,54.71,38.9,15.81,7.547,7.544,0.002,0.092,31.03,0,none,0.133
779,SEG2,S2,S3,6.0,300,53.89,45.11,8.78,5.384,5.382,0.002,0.219,31.72,0,none,0.117
2937,SEG1,S1,S2,8.0,250,53.78,45.78,7.99,7.464,7.463,0.001,0.195,29.46,0,none,0.078
2053,SEG4,S4,S5,4.0,200,55.5,43.76,11.75,5.752,5.752,0.0,0.148,33.03,0,none,0.006
2292,SEG2,S2,S3,6.0,300,55.4,33.25,22.15,6.299,6.064,0.235,0.45,46.17,1,severe,14.13
1326,SEG1,S1,S2,8.0,250,54.41,49.51,4.9,5.494,5.492,0.002,0.267,28.83,0,none,0.103
3143,SEG3,S3,S4,6.0,275,55.3,48.56,6.74,5.026,5.025,0.001,0.164,27.77,0,none,0.057
139,SEG3,S3,S4,6.0,275,55.4,49.06,6.34,4.804,4.803,0.001,0.162,31.85,0,none,0.079
932,SEG1,S1,S2,8.0,250,54.74,47.33,7.42,6.816,6.814,0.002,0.187,29.67,0,none,0.103
2110,SEG4,S4,S5,4.0,200,54.99,43.16,11.82,5.492,5.467,0.024,0.233,29.34,1,small,1.447
1722,SEG1,S1,S2,8.0,250,55.35,49.65,5.7,6.026,6.025,0.001,0.101,30.73,0,none,0.063
2427,SEG2,S2,S3,6.0,300,54.8,40.96,13.84,7.043,7.041,0.002,0.215,27.89,0,none,0.092
872,SEG4,S4,S5,4.0,200,56.11,46.45,9.66,5.277,5.276,0.001,0.164,28.17,0,none,0.036
2424,SEG3,S3,S4,6.0,275,54.94,47.35,7.59,5.195,5.193,0.002,0.123,29.6,0,none,0.137
169,SEG1,S1,S2,8.0,250,54.84,49.8,5.03,5.822,5.821,0.001,0.262,27.83,0,none,0.068
3057,SEG3,S3,S4,6.0,275,55.21,49.21,6.0,4.61,4.608,0.002,0.219,25.82,0,none,0.146
720,SEG3,S3,S4,6.0,275,57.71,45.7,12.01,5.087,5.03,0.057,0.335,41.02,1,medium,3.412
3691,SEG2,S2,S3,6.0,300,55.36,46.78,8.59,5.457,5.454,0.002,0.077,27.81,0,none,0.139
1367,SEG3,S3,S4,6.0,275,55.51,49.14,6.37,3.677,3.646,0.031,0.267,30.18,1,small,1.85
3976,SEG2,S2,S3,6.0,300,56.02,42.49,13.54,5.714,5.615,0.099,0.279,36.35,1,medium,5.954
1379,SEG2,S2,S3,6.0,300,56.18,45.89,10.29,5.985,5.984,0.001,0.112,32.54,0,none,0.068
2223,SEG2,S2,S3,6.0,300,55.9,47.11,8.79,5.405,5.403,0.002,0.177,27.89,0,none,0.092
1805,SEG1,S1,S2,8.0,250,53.9,47.58,6.32,6.6,6.598,0.002,0.228,30.42,0,none,0.094
972,SEG3,S3,S4,6.0,275,55.75,48.35,7.4,5.325,5.325,0.0,0.276,26.76,0,none,0.0
93,SEG3,S3,S4,6.0,275,54.5,45.77,8.73,5.803,5.802,0.001,0.164,27.7,0,none,0.053
2974,SEG3,S3,S4,6.0,275,55.16,46.76,8.4,5.581,5.579,0.002,0.122,28.27,0,none,0.128
1804,SEG4,S4,S5,4.0,200,54.82,43.01,11.81,5.87,5.869,0.001,0.236,27.26,0,none,0.037
520,SEG2,S2,S3,6.0,300,56.63,46.75,9.88,5.91,5.91,0.0,0.202,30.83,0,none,0.002
2111,SEG3,S3,S4,6.0,275,56.09,47.41,8.68,5.78,5.78,0.001,0.104,31.21,0,none,0.032
3914,SEG3,S3,S4,6.0,275,54.27,48.48,5.79,4.54,4.54,0.0,0.165,28.31,0,none,0.006
417,SEG4,S4,S5,4.0,200,54.67,33.44,21.23,5.702,5.479,0.222,0.417,43.2,1,severe,13.347
3478,SEG3,S3,S4,6.0,275,54.51,47.16,7.35,5.371,5.369,0.002,0.256,28.88,0,none,0.098
215,SEG2,S2,S3,6.0,300,53.07,44.71,8.36,5.352,5.35,0.002,0.234,33.48,0,none,0.118
1143,SEG4,S4,S5,4.0,200,56.61,49.25,7.36,4.534,4.532,0.001,0.175,30.44,0,none,0.09
655,SEG3,S3,S4,6.0,275,55.61,42.6,13.01,5.694,5.645,0.049,0.284,38.15,1,medium,2.935
2739,SEG3,S3,S4,6.0,275,53.97,47.29,6.68,4.974,4.973,0.001,0.21,31.97,0,none,0.07
2494,SEG3,S3,S4,6.0,275,55.5,50.09,5.41,4.358,4.357,0.001,0.248,25.17,0,none,0.076
3679,SEG1,S1,S2,8.0,250,54.27,50.1,4.17,4.964,4.963,0.001,0.131,29.92,0,none,0.084
1361,SEG2,S2,S3,6.0,300,53.77,45.17,8.61,5.41,5.409,0.001,0.186,31.59,0,none,0.076
3785,SEG2,S2,S3,6.0,300,55.62,36.99,18.62,7.274,7.218,0.056,0.248,31.99,1,medium,3.34
291,SEG3,S3,S4,6.0,275,56.6,49.75,6.85,5.076,5.076,0.0,0.284,27.93,0,none,0.0
2150,SEG4,S4,S5,4.0,200,54.1,45.57,8.53,4.909,4.908,0.0,0.248,30.27,0,none,0.025
3022,SEG4,S4,S5,4.0,200,54.48,30.6,23.87,5.088,4.98,0.107,0.51,47.65,1,severe,6.431
1195,SEG4,S4,S5,4.0,200,54.3,42.71,11.59,5.758,5.758,0.001,0.217,30.51,0,none,0.034
3665,SEG2,S2,S3,6.0,300,55.24,45.94,9.3,5.651,5.651,0.001,0.249,29.61,0,none,0.043
1598,SEG4,S4,S5,4.0,200,55.5,47.88,7.62,4.599,4.597,0.001,0.229,29.87,0,none,0.084
1593,SEG1,S1,S2,8.0,250,55.89,45.88,10.0,6.029,5.978,0.052,0.293,36.62,1,medium,3.113
3642,SEG2,S2,S3,6.0,300,56.01,47.0,9.01,5.607,5.606,0.001,0.147,30.94,0,none,0.045
128,SEG2,S2,S3,6.0,300,54.62,42.44,12.18,6.591,6.589,0.002,0.29,32.05,0,none,0.119
3919,SEG1,S1,S2,8.0,250,57.35,52.68,4.67,5.388,5.386,0.002,0.25,29.02,0,none,0.121
1686,SEG4,S4,S5,4.0,200,54.36,47.56,6.81,4.295,4.293,0.002,0.207,32.24,0,none,0.117
3396,SEG3,S3,S4,6.0,275,54.43,50.29,4.15,3.863,3.863,0.0,0.222,30.71,0,none,0.004
1534,SEG1,S1,S2,8.0,250,56.06,45.25,10.8,6.829,6.749,0.08,0.358,34.55,1,medium,4.799
1980,SEG4,S4,S5,4.0,200,54.81,47.03,7.78,4.586,4.583,0.002,0.268,30.18,0,none,0.131
2453,SEG1,S1,S2,8.0,250,56.17,51.02,5.15,5.787,5.786,0.0,0.197,28.8,0,none,0.026
1346,SEG1,S1,S2,8.0,250,54.02,49.01,5.01,5.618,5.617,0.001,0.124,30.93,0,none,0.079
2095,SEG3,S3,S4,6.0,275,56.46,48.29,8.16,5.485,5.485,0.0,0.13,31.13,0,none,0.016
2238,SEG1,S1,S2,8.0,250,54.43,50.15,4.29,5.272,5.272,0.0,0.208,29.51,0,none,0.016
263,SEG4,S4,S5,4.0,200,54.57,32.52,22.05,4.798,4.67,0.128,0.46,46.79,1,severe,7.678
1163,SEG1,S1,S2,8.0,250,53.78,47.87,5.91,6.051,6.05,0.002,0.247,29.43,0,none,0.091
681,SEG4,S4,S5,4.0,200,55.37,45.23,10.14,5.333,5.332,0.001,0.154,33.56,0,none,0.082
74,SEG2,S2,S3,6.0,300,54.09,40.68,13.41,7.036,7.034,0.002,0.265,30.27,0,none,0.135
1602,SEG3,S3,S4,6.0,275,51.56,40.04,11.51,4.551,4.453,0.098,0.276,38.19,1,medium,5.884
2117,SEG4,S4,S5,4.0,200,53.38,40.08,13.29,5.482,5.444,0.039,0.195,36.02,1,small,2.325
2095,SEG1,S1,S2,8.0,250,55.14,44.36,10.78,6.787,6.726,0.062,0.323,37.13,1,medium,3.695
1523,SEG4,S4,S5,4.0,200,57.3,46.73,10.57,5.395,5.393,0.002,0.184,28.73,0,none,0.144
1977,SEG4,S4,S5,4.0,200,54.32,46.37,7.95,4.259,4.234,0.025,0.175,34.44,1,small,1.501
3292,SEG2,S2,S3,6.0,300,55.32,42.4,12.92,6.842,6.84,0.002,0.277,28.78,0,none,0.112
2714,SEG2,S2,S3,6.0,300,54.99,42.85,12.14,6.599,6.598,0.001,0.184,31.63,0,none,0.056
2135,SEG4,S4,S5,4.0,200,55.14,45.93,9.2,5.051,5.051,0.0,0.244,30.54,0,none,0.018
291,SEG1,S1,S2,8.0,250,55.67,49.38,6.29,6.244,6.243,0.001,0.102,31.41,0,none,0.088
540,SEG3,S3,S4,6.0,275,54.15,48.03,6.12,4.619,4.618,0.001,0.129,30.72,0,none,0.035
735,SEG1,S1,S2,8.0,250,53.58,49.34,4.24,5.159,5.157,0.002,0.118,31.41,0,none,0.108
1962,SEG1,S1,S2,8.0,250,54.65,50.85,3.8,4.821,4.821,0.0,0.135,30.81,0,none,0.011
1372,SEG2,S2,S3,6.0,300,53.6,45.36,8.24,5.325,5.325,0.0,0.144,27.82,0,none,0.024
1226,SEG1,S1,S2,8.0,250,55.75,45.42,10.33,7.108,7.099,0.01,0.269,35.37,1,small,0.575
587,SEG4,S4,S5,4.0,200,55.18,41.71,13.47,5.371,5.288,0.084,0.22,30.76,1,medium,5.013
3984,SEG1,S1,S2,8.0,250,53.96,48.65,5.31,5.04,5.029,0.011,0.264,32.3,1,small,0.642
890,SEG4,S4,S5,4.0,200,54.21,42.96,11.26,5.692,5.691,0.002,0.161,29.71,0,none,0.106
2087,SEG2,S2,S3,6.0,300,54.4,39.03,15.37,7.452,7.449,0.002,0.126,31.92,0,none,0.133
1676,SEG4,S4,S5,4.0,200,54.43,45.97,8.46,4.196,4.172,0.024,0.202,30.68,1,small,1.422
404,SEG2,S2,S3,6.0,300,56.3,42.77,13.52,6.988,6.987,0.001,0.128,31.18,0,none,0.068
2216,SEG2,S2,S3,6.0,300,53.41,44.17,9.24,5.582,5.58,0.002,0.243,29.1,0,none,0.125
3365,SEG4,S4,S5,4.0,200,55.7,43.66,12.04,4.418,4.367,0.051,0.292,33.26,1,medium,3.047
1627,SEG4,S4,S5,4.0,200,53.89,45.23,8.66,4.515,4.491,0.024,0.284,32.21,1,small,1.422
2113,SEG4,S4,S5,4.0,200,57.64,47.34,10.3,5.361,5.36,0.002,0.193,33.79,0,none,0.101
2263,SEG3,S3,S4,6.0,275,55.62,49.87,5.75,4.593,4.593,0.0,0.155,33.38,0,none,0.001
828,SEG1,S1,S2,8.0,250,53.6,47.01,6.59,5.28,5.248,0.032,0.245,32.1,1,small,1.916
3861,SEG2,S2,S3,6.0,300,53.84,40.26,13.59,7.09,7.09,0.0,0.134,32.63,0,none,0.027
3326,SEG3,S3,S4,6.0,275,55.37,47.91,7.46,5.273,5.27,0.002,0.149,27.29,0,none,0.14
594,SEG3,S3,S4,6.0,275,55.32,48.1,7.23,5.388,5.387,0.002,0.164,29.05,0,none,0.092
1662,SEG4,S4,S5,4.0,200,53.71,35.2,18.51,4.162,4.034,0.128,0.429,45.48,1,severe,7.658
45,SEG2,S2,S3,6.0,300,55.81,42.15,13.66,7.033,7.031,0.002,0.219,28.11,0,none,0.132
2726,SEG1,S1,S2,8.0,250,54.39,45.31,9.08,5.882,5.801,0.081,0.25,35.98,1,medium,4.882
125,SEG2,S2,S3,6.0,300,55.97,42.57,13.4,6.599,6.584,0.015,0.33,30.48,1,small,0.896
2820,SEG2,S2,S3,6.0,300,56.5,48.34,8.16,5.257,5.255,0.002,0.208,31.43,0,none,0.094
3482,SEG4,S4,S5,4.0,200,55.04,44.35,10.69,5.527,5.526,0.0,0.292,27.09,0,none,0.029
3732,SEG2,S2,S3,6.0,300,54.66,42.62,12.04,6.298,6.285,0.012,0.286,33.0,1,small,0.73
1319,SEG3,S3,S4,6.0,275,55.19,48.96,6.22,4.759,4.758,0.001,0.205,31.27,0,none,0.065
3784,SEG1,S1,S2,8.0,250,55.69,48.37,7.31,6.946,6.945,0.001,0.238,29.51,0,none,0.086
1312,SEG2,S2,S3,6.0,300,55.4,45.02,10.38,6.094,6.092,0.002,0.18,31.39,0,none,0.131
2047,SEG4,S4,S5,4.0,200,53.97,42.97,11.0,5.565,5.564,0.001,0.21,32.44,0,none,0.085
2007,SEG3,S3,S4,6.0,275,53.82,47.16,6.67,4.915,4.914,0.001,0.144,33.51,0,none,0.04
1363,SEG2,S2,S3,6.0,300,56.06,46.48,9.58,5.804,5.801,0.002,0.205,30.83,0,none,0.15
2126,SEG1,S1,S2,8.0,250,56.51,49.54,6.97,6.742,6.74,0.002,0.23,28.65,0,none,0.098
606,SEG3,S3,S4,6.0,275,54.95,48.61,6.34,4.896,4.896,0.0,0.264,30.17,0,none,0.012
3633,SEG3,S3,S4,6.0,275,54.79,48.93,5.86,4.536,4.534,0.002,0.107,28.06,0,none,0.103
231,SEG3,S3,S4,6.0,275,54.75,49.89,4.86,4.173,4.172,0.001,0.236,28.46,0,none,0.062
2404,SEG1,S1,S2,8.0,250,55.71,48.8,6.9,6.717,6.714,0.002,0.227,32.55,0,none,0.148
657,SEG1,S1,S2,8.0,250,56.78,49.71,7.07,6.828,6.827,0.001,0.197,28.75,0,none,0.038
1955,SEG3,S3,S4,6.0,275,54.78,47.27,7.51,4.156,4.118,0.038,0.311,34.83,1,small,2.266
2046,SEG3,S3,S4,6.0,275,54.36,46.54,7.83,5.445,5.443,0.002,0.181,27.64,0,none,0.145
187,SEG3,S3,S4,6.0,275,54.72,48.81,5.9,4.56,4.559,0.0,0.251,31.25,0,none,0.012
3593,SEG4,S4,S5,4.0,200,55.62,45.46,10.16,4.949,4.927,0.022,0.23,29.77,1,small,1.326
1276,SEG4,S4,S5,4.0,200,53.4,44.63,8.77,4.956,4.955,0.0,0.159,29.06,0,none,0.029
2631,SEG3,S3,S4,6.0,275,56.29,48.13,8.16,5.65,5.649,0.0,0.2,29.49,0,none,0.029
15,SEG3,S3,S4,6.0,275,55.99,48.27,7.72,5.345,5.344,0.001,0.162,26.9,0,none,0.078
3103,SEG2,S2,S3,6.0,300,56.08,47.62,8.46,5.377,5.377,0.0,0.202,28.03,0,none,0.016
2140,SEG3,S3,S4,6.0,275,54.87,47.01,7.85,5.374,5.372,0.002,0.25,34.56,0,none,0.115
2910,SEG4,S4,S5,4.0,200,54.64,44.24,10.39,5.403,5.401,0.001,0.211,27.54,0,none,0.087
560,SEG4,S4,S5,4.0,200,52.99,42.3,10.69,5.022,4.991,0.031,0.202,30.07,1,small,1.864
2740,SEG4,S4,S5,4.0,200,53.76,41.52,12.24,4.844,4.792,0.052,0.38,32.42,1,medium,3.092
3247,SEG3,S3,S4,6.0,275,54.96,46.89,8.07,5.497,5.496,0.001,0.336,28.56,0,none,0.075
